id,project,status,target_completion_date,highway_transit_line,estimated_total_budget,latitude,longitude,category,supporting_ministry,community,description,result,area,region,address,postal_code,municipal_funding,provincial_funding,federal_funding,other_funding,website
51,Partner Facility Renewal - Bob  Rumball,Under construction,2025-09-01,,254000,43.734753,-79.380527,Communities,"Children, Community and Social Services",Toronto,Roof Construction,Minor capital projects for repair/renovation/upgrades of existing buildings that will provide more secure and accessible facilities for people who use their services.,Toronto,Central,2395 Bayview Avenue,M2L 1A2,,Yes,,,
53,MECP/MLITSD Science Complex,Planning,2030-09-01,,0,,,Communities,"Environment, Conservation and Parks",Oakville,Construction of a new Science Complex to replace the existing facilities at 81A and 125 Resources Road.,New Science Complex,Halton,Central,Hospital Gate and William Halton Parkway,,,Yes,,,
70,Alderville First Nation - Communal and POE Water Treatment Systems,Planning,2025-01-01,,0,44.1729,-78.0852,Communities,Infrastructure,Alderville First Nation,"This Project is for the rehabilitation and expansion of the water treatment system in the Alderville First Nation. The work includes drilling a new well; replacing small water treatment systems with a high-capacity, communal treatment plant with back-up power; installing an underground reservoir for water storage and high lift pump station; establishing a truck fill connection; installing approximately 750 metres of piping to connect the communal plant to 18 buildings; rehabilitating and upgrading 32 existing point-of-entry (POE) systems, adding 10 residential POE systems; and decommissioning unused wells.",,Peterborough,East,11696 2ND LINE RD,K0K2X0,Yes,Yes,Yes,,
77,Reconstruction of Sanitary Sewers on George and Seymour Streets,Planning,2023-01-01,,0,42.1016,-83.10746,Communities,Infrastructure,Amherstburg,"The Project will replace and reconstruct the sanitary sewer system on George and Seymour streets in the Town of Amherstburg. The work will involve installing approximately 900 metres of sanitary sewer and collection lines, and replacing manholes. The work will also involve asphalt restoration of the affected roadway.",,Essex,Southwest,271 Sandwich Street/Rue South/Sud,N9V2A5,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
83,Anishinaabeg of Naongashiing Sewage Lagoon,Planning,2023-01-01,,0,49.118469,-94.313364,Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,"The Project will construct a new sewage lagoon with clay liner to replace the existing wastewater treatment plant in the Anishinaabeg of Naongashiing First Nation.The work will include clearing and preparing an undeveloped site for the lagoon, excavating trenches for collection pipes, building an access road, constructing the lagoon and its required components including flow meters/analyzer and outfalls, installing new gravity sewers and force mains, and upgrading  the existing lift station. The existing wastewater treatment plant will also be decommissioned and deconstructed.",,Rainy River,Northwest,General Delivery,P0W1J0,Yes,Yes,Yes,,
91,Replacement of the 400mm Madawaska River Water main,Planning,2024-01-01,,0,45.426952,-76.35253,Communities,Infrastructure,Arnprior,"The Project is for the replacement of a water main crossing the Madawaska River in Arnprior. The work will involve replacing the 400mm diameter water main, spanning from the water treatment plant to the elevated water storage tower, with the possibility of relocating the water main as well.",,Renfrew,East,105 Elgin Street/Rue West/Ouest,K7S0A8,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
95,"Dungannon Drinking Water System Arsenic Treatment, Reservoir and Pump Station",Under construction,2023-01-01,,0,43.852382,-81.595209,Communities,Infrastructure,Ashfield-Colborne-Wawanosh,"The project will rehabilitate a water treatment facility in Dungannon.  The project will involve the construction of a new reservoir and a new pumphouse to accommodate the installation of new high-lift pumps to pump water from the new reservoir to the distribution system.  To connect the reservoir to the system, new piping will be installed downstream of the chlorine contact main.  The project will also include the relocation of the existing pressure tanks to the new pumphouse building, removal of the iron sequestering chemical feed system from the existing treatment building, and installation of new cartridge filter trains (in the existing treatment building) to remove arsenic. New variable frequency drives (VFDs), harmonic filters, as well as the associated electrical equipment and wiring will be installed. The existing MCC system will be improved by removing abandoned components (i.e. Well 1 starters) and reprogramming.  Depending on the additional electrical loads, a new power service feed and generator may also be required pending verification during the design phase.",,Huron,Southwest,82133 Council Line,N7A3Y2,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
102,Atikameksheng Anishnawbek Septic & Watermain Upgrade,Planning,2021-01-01,,0,46.398007,-81.17725,Communities,Infrastructure,Atikameksheng Anishnawbek First Nation,The project is for the improvement of septic systems and water distribution in the Atikameksheng Anishnawbek First Nation. The work will replace approximately 300 meters of watermain (including necessary connections and service line to residences and commissioning); and approximately 35 septic systems. The work also includes the addition of a fire hydrant and re-pavement of half the roadway along Maani Street impacted by watermain work.,,,Northeast,25 Reserve Road,P0M2M0,Yes,Yes,Yes,,
106,Repairs and Upgrades at Water Treatment Plant,Under construction,2024-01-01,,130500,52.925885,-82.428892,Communities,Infrastructure,Attawapiskat First Nation,Repair and upgrade various equipment at the water treatment plant.,More secure and safer drinking water.,Kenora,Northwest,,,,Yes,Yes,Yes,
107,Repairs and Upgrades to Sewage Lagoon,Under construction,2024-01-01,,22575,52.925885,-82.428892,Communities,Infrastructure,Attawapiskat First Nation,"Cut brush and vegetation, repair erosion on berm bank, repair fence and install gate.",Improved environmental protection.,Kenora,Northwest,,,,Yes,Yes,Yes,
128,Community Hub in Downtown Barrie,Planning,,,0,,,Communities,Infrastructure,Barrie,"The project will construct a 77,000 square foot facility which will include a youth centre with kitchen, computer lab and recording studio, rehabilitation space for post-cardiac/cancer care; youth outreach/employment offices, meeting rooms, various recreation spaces including aquatic and fitness centres, weight room, track, gymnasium, and indoor playground, and parking spaces",,Simcoe,Central,7315 Yonge Street #1,L9S4V7,Yes,Yes,,Yes,https://www.news.ontario.ca/en/release/1000415/ontario-investing-over-29-million-in-new-community-hub-in-downtown-barrie
137,Rehabilitation of Cannifton Stormwater Pumping Station,Under construction,2023-01-01,,0,44.177731,-77.378813,Communities,Infrastructure,Belleville,"The Project is for the rehabilitation of Cannifton stormwater pumping station in Belleville. The work includes the installation of two submersible pumps, wet well hatches and rails, a flow meter, a control panel and a new roof. The existing fuel tank will be removed to create space for the installation of a new and fixed stand-by diesel generator, and upgrades to the HVAC system and lighting will be completed along with mechanical and structural modifications.","Improve the station's service reliability, and ability to remove stormwater to prevent flooding.",Hastings,East,City Hall  169 Front Street/Rue,K8N2Y8,Yes,Yes,Yes,,
147,Construction of the Bracebridge Multi-Use Community Centre,Planning,2024-01-01,,0,45.0402,-79.3274,Communities,Infrastructure,Bracebridge,"The community centre will include a modern public library, a community hall, accessible indoor multi-sport field house, a lobby, on-site parking and outdoor play spaces",,Muskoka,Central,1000 Taylor Court,P1L1R6,Yes,Yes,,,https://www.news.ontario.ca/en/release/1000421/ontario-investing-over-16-million-in-a-multi-use-community-centre-in-bracebridge
161,Expansion of Chris Gibson Community and Recreation Centre,Planning,2025-08-01,,0,43.681411,-79.776165,Communities,Infrastructure,Brampton,"The project will construct a new 2-storey addition that will accommodate  an NHL-sized ice rink, a double gymnasium, three dance studios and a new main entrance. The project will also include expanded parking lots and driveways",,Peel,Central,2 Wellington St W,L6Y4R2,Yes,Yes,,,https://www.news.ontario.ca/en/release/1000506/ontario-investing-over-18-million-to-expand-chris-gibson-recreation-centre-in-brampton
176,Reconstruction of the city's main sewage pumping station.,Planning,2025-01-01,,300000,44.591667,-75.678333,Communities,Infrastructure,Brockville,Replace an existing sanitary sewer pumping station with a new one.,The pumping station conveys over 90% of the city's wastewater flow to the city's water pollution control center for processing.,Leeds and Grenville,East,,,Yes,Yes,Yes,,
190,Brunswick House Water Treatment System Upgrade,Planning,2024-01-01,,0,47.83488,-83.32558,Communities,Infrastructure,Brunswick House First Nation,"The project will upgrade components of a water treatment facility and complete upgrades to the reservoir in the Brunswick House First Nation in order to reduce the formation of Disinfection Byproducts and provide additional water quality security for water storage. The work will involve a building addition to house a new ozone pre-treatment system and installation of an exterior, below grade contact pipe. Upgrades within the existing facility include ultraviolet equipment, sand filter underdrains replacement and updates to the existing chlorination system. In addition, an epoxy coating will be applied to the interior of the reservoir and a dedicated back up generator for the fire pump will be provided.",,,Northeast,P.O. Box 1178,P0M1K0,Yes,Yes,Yes,,
206,Cambridge Public Library o/a Idea Exchange Hespeler Library Elevator Accessibility and Mechanical Refurbishment,Planning,2025-08-01,,0,43.430867,-80.309673,Communities,Infrastructure,Cambridge,"The Hespeler Library elevator is almost 28 years old and essentially, in its original condition from 1992.  The main objectives of the refurbishment project are:Compliance with accessibility regulationsImproving reliability of elevator operationImproving passenger safetyReduction in energy usageThe Hespeler Library elevator will have new accessibility features  such as Braille plates (interior and exterior), voice annunciation, automatic self leveling, visual and audible direction indicators and updated emergency call system.  The mechanics will be upgraded to microprocessor-based control system to perform all the functions of safe elevator motion and elevator door control.   A new car operating panel will be installed with modern, LED illuminated buttons.Over 130,000 people visited the Hespeler library in 2018. Renovated in 2007, this cultural hub has received several architectural design awards including the 2008 Design Excellence Award/Ontario Association of Architects. In 2015, the building was listed as one of the 10 most beautiful libraries in Canada by Canadian Geographic.  Having maintained a portion of the original 1923 Carnegie library, the Hespeler library is of historical and architectural significance and is a popular destination.",,Waterloo,Southwest,1 North Square,N1S2K6,Yes,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000049/residents-of-cambridge-to-benefit-from-improvements-to-community-infrastructure
229,King St. Combined Sewer Separation,Planning,2023-01-01,,0,45.62,-74.6922,Communities,Infrastructure,Champlain,"The Project is for the separation of the combined sewer system along King Street in L'Orignal. The work includes replacement or new construction of approximately 950 metres of storm sewer as well as installation of storm sewer laterals to existing residents, replacement of approximately 450 metres of watermain, relining approximately 450 metres of sanitary sewer and installing associated fixtures such as hydrants, valves, manholes, and catch basins. This is a joint project with the United Counties of Prescott and Russell.",Improved wastewater and storm water management systems and better protection of local waterways for the residents of Champlain Township.,Prescott and Russell,East,948 Pleasant Corner Road East/Est,K0B1R0,Yes,Yes,Yes,,
282,Eiram Stormwater Management Pond Retrofit and Rehabilitation,Planning,2024-01-01,,0,43.93146,-78.677914,Communities,Infrastructure,Clarington,"The Project is for the rehabilitation of the Eiram stormwater pond in Clarington. The work includes the construction of a forebay to the pond, restore the storm sewer inlet and outlet control structure, replace the stone jacket around the extended detention control device, remove accumulated sediment, and improve road access to the pond.","The upgrades will restore the functionality of the pond, improve stormwater management and treatment, and reduce the potential for structural failure that could lead to downstream flooding.",Durham,Central,40 Temperance Street/Rue,L1C3A6,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000034/canada-and-ontario-invest-over-44-m-in-improved-culture-recreation-and-green-infrastructure-in-partnership-with-15-communities-across-ontario
295,5th Avenue - Sanitary and Storm System Re-construction,Planning,2024-01-01,,0,49.03,-81.01,Communities,Infrastructure,Cochrane,"This project is for the rehabilitation of aging stormwater and sanitation infrastructure in the Town of Cochrane. The work will include rehabilitating and replacing approximately 840 metres of sanitary sewer; constructing approximately 240 metres of storm sewers; 7 manholes and 7 catch basins, watermain; and improving approximately 330 metres of road with new subgrade and asphalt, drainage curbs, gutters and sidewalks.  The project is comprised of the replacement/upgrade of the sanitary conveyance system from 5th Avenue traveling east into the laneway of 5th/6th Avenue, south to 5th Street and north to 6th Street, the rehabilitation of the sanitary main running eastward from First Avenue to Fifth Avenue, as well as the replacement/upgrade of the storm water drainage system running from 5th Avenue along 6th Street, coupled with a new storm sewer outflow into Lilly Lake north of 6th Street.  This project also includes re-construction of a portion of 5th Avenue and partial re-construction /rehabilitation of 6th Street.",,Cochrane,Northeast,171 Fourth Avenue,P0L1C0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
307,Couchiching First Nation Stormwater Management Infrastructure Upgrades,Planning,2023-01-01,,0,48.634167,-93.359722,Communities,Infrastructure,Couchiching First Nation,"This Project will improve stormwater management in the Couchiching First Nation. The work includes topographical and geotechnical surveys, regrading approximately 10 kilometers of road for water diversion, clearing and expanding ditches, clearing or upsizing approximately 150 culverts, and treating and improving the quality of stormwater effluent by introducing wetland plants and swales.",,,Northwest,107 Highway 11,P9A3M3,Yes,Yes,Yes,,
311,Curve Lake Catch Basin and Roads Stormwater Improvements,Under construction,2023-01-01,,0,44.508029,-78.363111,Communities,Infrastructure,Curve Lake First Nation,"The Project is for the improvement of stormwater drainage on Mississauga Road in Curve Lake. It involves rehabilitating drainage ditches along approximately 14.2 kilometres of road, replacing two stormwater catch basins, and upgrading a portion of the road surface.",Reduce the risk of storm water flooding by redirecting water run-off away from roads and people's homes.,,East,General Delivery,K0L1R0,Yes,Yes,Yes,,
321,Lagoon Expansion,Planning,2025-11-01,,0,46.120627,-80.058629,Communities,Infrastructure,Dokis First Nation,"The Project will rehabilitate and expand the wastewater lagoon in the Dokis First Nation. The work includes designing and constructing modifications to the existing lagoon cell and construction of a new lagoon cell for expanded capacity. The modifications will involve implementation of a pre-treatment system, installation of electricity on-site to power the pre-treatment system, the addition of separation membranes to channel wastewater flow and expansion of the lagoon’s capacity.","Enable the lagoon to meet current federal and provincial discharge requirements, reduce the accumulation of wastewater sediment and help meet current and future wastewater treatment demands.",,Northeast,940 MAIN Street,P0M2N1,Yes,Yes,Yes,,
373,Emo Water Treatment Plant Upgrades & Optimization for THM & HAA Reduction,Planning,2023-01-01,,0,48.628384,-93.844125,Communities,Infrastructure,Emo,"The Project will upgrade a water treatment plant in Emo.The work will involve flushing, cleaning  and removing sand deposits from the bottom of raw water pipes, installing an intake screen, upgrading the chemical feed system, and installing an automatic switchover panel and Anion Exchange treatment solution including two pressure rated vessels, a brine tank, backwash kit, microprocessor controller and an anion exchange media.","Improve the facility's performance, lengthen its lifespan, and ensure area residents have increased access to quality drinking water and a healthier living environment.",Rainy River,Northwest,39 Roy St,P0W1E0,Yes,Yes,Yes,,
376,Englehart Water Supply Upgrade,Planning,2025-12-01,,0,47.823838,-79.866934,Communities,Infrastructure,Englehart,"This Project will expand the drinking water supply and storage capacity in Englehart. The work will include: the construction of one additional drilled well with pump; upgrades to two existing wells; installing a new standpipe to increase water storage capacity; add variable frequency drives to well pumps to provide additional flow control capabilities; upgrade mechanical, electrical and SCADA systems to accommodate new equipment and controls; a hydrogeological investigation (aquifer study), geotechnical investigation, mechanical and piping modifications, and electrical and control modifications.",,Timiskaming,Northeast,61 Fifth Ave,P0J1H0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
417,Replacement of Drinking Water Pipes in the Block subdivision in the Village at Garden River First Nation,Planning,2023-01-01,,0,46.551,-84.149,Communities,Infrastructure,Garden River First Nation,"This project is for the replacement of a watermain and the installation of 12 new fire hydrants in the Block subdivision on Green Sky Street, Wigwaus Street, Gemah Street, and Highway 17B in Garden River First Nation. The work includes replacing approximately five kilometres of two-inch pipe with six-inch pipe, installing isolation valves at all ""tee"" and ""cross"" pipe intersections as well as approximately 300 metre intervals on straight runs; and installing 12 new fire hydrants.",,Algoma,Northeast,7 Shingwauk Street,P6A6Z8,Yes,Yes,Yes,,
434,Replacement of Failing Sewage Pumping Stations,Planning,2023-01-01,,0,50.149086,-94.003087,Communities,Infrastructure,Grassy Narrows First Nations,"The project will replace failing sewage pumps in the Grassy Narrows First Nation. The work will involve the decommissioning and replacement five (5) failing sewage pumping stations with new equipment and installing new process piping, fittings, valves and associated components for each station.",,,Northwest,General Delivery,P0X1B0,Yes,Yes,Yes,,
458,Expansion and Renovation of the Peach King Community Centre,Planning,2025-01-01,,0,,,Communities,Infrastructure,Grimsby,"To increase indoor leisure space in Grimsby, which will allow for improved and increased access to recreation and culture services that is operationally efficient.To respond to infrastructure priorities and service gaps, identified in the Master Plan, which will greatly increase citizen wellness and physical activity opportunities.To improve accessibility and support vulnerable populations, which will ensure that all members of the community can participate at their community centre.The Peach King Centre Expansion Project will increase the Town of Grimsby's indoor leisure infrastructure by adding a full-size gymnasium, indoor walking/wheeling track, multi-purpose program rooms, cultural space, EarlyON/preschool space, youth space and a unique and creative outdoor second floor recreation space.  The project includes improvements to accessibility, a renovated fitness centre and increased lobby/gathering spaces.  The outcome is a complete Community Centre for Grimsby.The project will serve the entire growing community of Grimsby (pop: 28,000+). Multi-use space will optimize a suite of programs and services for all citizens, and also priority groups including youth, seniors, inactive adults, vulnerable populations and new residents.  The project will improve physical and mental health in the community, and also promote local economic development.  This project will create partnership and space use opportunities with local sport, culture and leisure partners.",,Niagara,Central,160 Livingston Avenue,L3M0J5,Yes,Yes,,,https://www.news.ontario.ca/en/release/1000487/ontario-investing-over-16-million-to-expand-and-renovate-the-peach-king-centre-in-grimsby
489,Sewage pumping station rehabilitation.,Under construction,2025-09-01,,322500,43.268643,-79.957646,Communities,Infrastructure,Hamilton,"Rehabilitate, repair and/or replace various equipment at the Elgin St.  Rhodes Court  and Calvin St. sewage pumping station.",,Hamilton,Central,"Elgin Street, Dundas FC001, Rhodes Ct. Dundas DC009, 170 Calvin St. Ancaster HC011",,Yes,Yes,Yes,,
502,Hawkesbury Water Treatment Plant Clarifier Upgrades,Under construction,2023-01-01,,0,45.611527,-74.624784,Communities,Infrastructure,Hawkesbury,"The Project is for upgrades to the clarification process at the Water Treament Plant in the Town of Hawkesbury. The work involves de-commissioning a clarifier and repairing the walls, roof, floor slab, and surrounding framing to prevent further leakage and structural damage; replacing the clarifier with two new units; upgrading the building structure to accommodate the new clarifiers; and modifying a new control system.","Improve the quality of treated water, minimizing the risk of boil water advisories, and ensuring the long-term functioning of the plant.",Prescott and Russell,East,600 Higginson St,K6A1H1,Yes,Yes,Yes,,
512,Hiawatha First Nation - Rehabilitation and Upgrade of Communal Drinking Water Systems,Planning,2023-01-01,,0,44.173,-78.211,Communities,Infrastructure,Hiawatha First Nation,"The Project is for the rehabilitation of the water treatment system in the Hiawatha First Nation. The work will involve upgrading the water treatment plant by replacing two water distribution pumps, three chlorine pumps, a turbidity analyzer, and a coagulation system. A pressure tank will be replaced along with media, iron and cartridge filters, and ion exchange and ultraviolet disinfection systems at five communal drinking water systems. Over two kilometres of water distribution pipes will be installed to service six community buildings, three low-yield wells will be replaced with high yield wells, and 20 unused wells will be decommissioned. Security will be upgraded at the point of entry for the five communal drinking water systems and enclosures installed around water treatment equipment in two locations.",,,East,431 Hiawatha Line,K9J0E6,Yes,Yes,Yes,,
542,Water Distribution Renewal and Fire Protection Upgrades,Planning,2023-01-01,,0,49.615417,-95.109508,Communities,Infrastructure,Iskatewizaagegan #39 First Nation,"The project will replace a section of watermain and upgrade other components of the water distribution system in the Iskatewizaagegan #39 Independent First Nation (also known as Shoal Lake #39).The work will involve: replacing approximately 807 metres of concrete-lined, cast iron watermain with a wider, plastic pipe; installing 20 new gate valves; replacing two (2) fire hydrants, installing six (6) new hydrants; and replacing 45 water lines and curb stops from the watermain to residential properties.",,,Northwest,Box 1,P0X1E0,Yes,Yes,Yes,,
570,Gull Bay Lagoon Expansion,Planning,2022-01-01,,0,48.82139,-89.118333,Communities,Infrastructure,Kiashke Zaaging Anishinaabek First Nation,"This Project will expand the sewage lagoon in Gull Bay. The work will involve constructing an additional lagoon storage cell that will include an access road, a liner, high-level overflow, new intercell connection, control structure, discharge location, and outlet pipes.",,Thunder Bay,Northwest,General Delivery,P0T1P0,Yes,Yes,Yes,,
575,Killarney Landfill Leachate Collection and Treatment System,Under construction,2023-01-01,,553024,45.991045,-81.493349,Communities,Infrastructure,Killarney,Installation of a leachate collection and treatment system at the Killarney landfill site.,Diverting recyclable waste,Sudbury,Northeast,1111 Highway 637,P0M 2A0,Yes,Yes,Yes,,
587,Youth Campus Cultural Community Centre,Planning,2023-01-01,,0,44.236366,-76.500819,Communities,Infrastructure,Kingston,"Provide a safe, supportive and healing community centre for vulnerable youth 16-24 yrs old (including indigenous youth)Align this project with our ONE ROOF wrap around services from 27 different social agencies including (housing and mental health supports) within the attached building.Maximise the use of our existing facilities such as the full sized gym adjacent to the community centre space.Provide opportunities for cultural healing, skill development, socialization and self expression.Renovation to convert a church sanctuary to a community centre and supporting infrastructure: removal of pews; stage construction; Audio visual, lighting, and sound system installations; flooring and HVAC requirements.Demolition of a portion of the complex to add approx. 2500 sq. ft. of new construction to meet building code and accessibility issues for supporting washrooms, a kitchen able to support community centre functions and a multi-use meeting area.Serve as a community centre for homeless or vulnerable youth ages 16-24 including indigenous and LGBTQ+ youth.  30% of homeless youth who utilize our ONE ROOF program are indigenous. 500 youth per month will utilize the facility once programing is fully implemented. One focus for program delivery will be the utilization of the renovated sanctuary as a Indigenous Healing Centre.Other youth service agencies and non-profits will be able to use the facility as well.",,Frontenac,East,540 Montreal St.,K7K3J2,Yes,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000657/canada-and-ontario-invest-over-2-million-in-improved-community-culture-and-recreational-infrastructure-in-eastern-ontario
607,Lac La Croix Water Treatment Plant Upgrades,Planning,2024-01-01,,0,48.372041,-92.158624,Communities,Infrastructure,Lac la Croix First Nation,"The Project will upgrade the water treatment plant in the Lac La Croix First Nation.The project involves building an addition for and installing ozonation and ultraviolet disinfection systems, repairing the chlorination disinfection and heating systems, repairing or replacing flow meters, distribution pump pressure relief valve, air release valve in wet well, online analyzers and other necessary equipment. In addition, a fire pump will be recommissioned, the intake and the low lake pumping and distribution system inspected, reservoirs will be cleaned and checked for leaks and automatic control of distribution pumps restored. Chlorine dosing system to be repaired and moved; installation of secondary containment for process chemicals, turbidimeters after each filter and locks on wet well hatches; and an inventory will be conducted of gate valves and curb stops.",,,Northwest,Neguaguon Lake I.R. P.O. Box 640,P9A3M9,Yes,Yes,Yes,,
625,Larder Lake Road Reconstruction Project - Phase 2 Wastewater and Water,Under construction,2023-01-01,,0,48.098711,-79.713739,Communities,Infrastructure,Larder Lake,"The project is phase 2 of a multi-phase reconstruction of Larder Lake Road in the Township of Larder Lake. This phase will replace all damaged watermains and damaged sections of sanitary sewer along approximately 1.7 kilometers of Larder Lake Road; the replacement and reconnection of water and wastewater pipes; and complete a repair, rehabilitation and/or installation of sewage maintenance access holes and fire hydrants; and the backfilling, surface preparation, paving and landscaping along the project route.",,Timiskaming,Northeast,69 Fourth Avenue,P0K1L0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
631,Upgrades to Water Pollution Control Plant Disinfection System,Planning,2023-01-01,,0,47.322407,-79.812,Communities,Infrastructure,Latchford,The Project is for the rehabilitation and upgrade of a water pollution control plant in Latchford. The work includes: rehabilitating and upgrading the plant’s chlorine contact chamber to allow for the installation of an ultraviolet water disinfection system and related piping and plant modifications; the construction of a new building; electrical and SCADA programming; instrumentation of the new processes; HVAC and odor control for the new building.,"Improved wastewater treatment by employing environmentally friendly methods to support year-round, continuous disinfection.",Timiskaming,Northeast,Town Of Latchford,P0J1N0,Yes,Yes,Yes,,
632,Laurentian Hills Wastewater System Treatment Upgrades,Planning,2025-09-01,,0,46.018,-77.45,Communities,Infrastructure,Laurentian Hills,"The Project is for the upgrade of a wastewater treatment facility in Laurentian Hills. The work includes an infiltration and inflow study, pipe repairs and disconnections of sump pumps. Aging plant components that will be replaced include the heating system, a grinder, influent pumps, a blower for aeration, clarifiers, aeration equipment, and a relined grit channel that captures heavy solids. In addition, new components will be added such as: a SCADA control system; a chlorine contact chamber, flocculants and coagulants for the treatment of wastewater effluent; and additional sludge holding capacity.",,Renfrew,East,34465 Highway No. 17 Highway,K0J1P0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
