id,project,status,target_completion_date,highway_transit_line,estimated_total_budget,latitude,longitude,category,supporting_ministry,community,description,result,area,region,address,postal_code,municipal_funding,provincial_funding,federal_funding,other_funding,website
15,Hoshizaki House Crisis Shelter,Complete,2018-12-01,,3100000,,,Communities,"Children, Community and Social Services",Dryden,Demolition and reconstruction of building,"New 8,000 sq. ft. (approx.) VAW shelter with parking lot, site access and landscaping to provide better, more secure and accessible facilities",Kenora,Northwest,Address is confidential,,,Yes,Yes,Yes,https://www.cmhc-schl.gc.ca/en/media-newsroom/news-releases/2016/governments-of-canada-and-ontario-build-new-violence-against-women-emergency-shelter-for-victims-of
16,Anti-Human Trafficking Specialized Residential Sites - Murray McKinnon Foundation,Complete,2021-09-01,,0,,,Communities,"Children, Community and Social Services",Durham,Implementation of a specialized site in Durham for children and youth who are victims of human-trafficking.,"This specialized residence will divert children and youth that are being, or at risk of being trafficked, from less effective services and result in better health, social, legal and educational outcomes.",Durham,Central,Address is confidential,,,Yes,,,"https://www.ontario.ca/page/ontarios-anti-human-trafficking-strategy-2020-2025#:~:text=Ontario%27s%20anti%2Dhuman%20trafficking%20strategy%20will%20raise%20awareness%20of%20the,give%20law%20enforcement%20the%20tools"
17,Dan Pine Healing Lodge,Complete,2016-03-01,,562147,46.531489,-84.161024,Communities,"Children, Community and Social Services",Garden River First Nation,Upgrades and renovations to existing building,Space to provide programs and services combining traditional healing and contemporary therapeutic interventions,Algoma,Northeast,200 Anishnabe Point Rd,P0S 1C0,,Yes,,,
18,Improvements to Community Living Guelph Wellington,Complete,2017-03-01,,20000,43.537647,-80.276365,Communities,"Children, Community and Social Services",Guelph,Renovation of bathrooms and adding sprinkler systems,"Provide better, more secure and accessible facilities",Wellington,Southwest,87 Silvercreek Parkway,N1H 6S4,,Yes,,,
19,McMaster Children's Hospital - New Ron Joyce Children's Health Centre,Complete,2015-10-01,,86000000,43.263655,-79.855355,Communities,"Children, Community and Social Services",Hamilton,New building,"Accessible treatment centre delivers autism services, child/youth mental health services, developmental pediatrics and rehab, fitting and manufacturing of prosthetics/orthotics for children and adults",Hamilton,Central,325 Wellington St N,L8L 0A4,,Yes,,,http://www.infrastructureontario.ca/Ron-Joyce-Children%E2%80%99s-Health-Centre/
20,Christian Horizons Rebuild,Complete,2018-03-01,,1500000,43.305094,-80.220977,Communities,"Children, Community and Social Services",Hamilton,Partial demolition and reconstruction of existing building,"4,800 sq. ft. group home with 6 beds, providing better, more secure and accessibility facilities",Hamilton,Central,Concession 6,N0B1L0,,Yes,,,https://www.christian-horizons.org/article/2593-ontario-supporting-rebuild-of-branchton-residence
21,Boys & Girls Club of Kawartha Lakes Community Hub Enhancement,Complete,2017-11-01,,1975000,44.3493,-78.7326,Communities,"Children, Community and Social Services",Kawartha Lakes,Expansion of building and two parking lots,"Construction of a 5,775 sq. ft. suite and a 2,200 sq. ft. section 23 classroom",Kawartha Lakes,East,107 Lindsay St,K9V 2M5,,Yes,,Yes,http://www.bgckl.com/
22,Partner Facility Renewal - Waasegiizhig Nanaandawe'iyewigamig,Under construction,2025-09-01,,480300,49.765004,-94.487563,Communities,"Children, Community and Social Services",Kenora,Structural,Minor capital projects for repair/renovation/upgrades of existing buildings that will provide more secure and accessible facilities for people who use their services.,Kenora,Northwest,212 4th Ave South,P9N 1Y9,,Yes,,,
23,North Eastern Ontario Family and Children's Services,Complete,2017-06-01,,3600000,48.1549,-80.03,Communities,"Children, Community and Social Services",Kirkland Lake,Expansion and renovation of existing building,Multi-service community hub,Timiskaming,Northeast,6 Tweedsmuir Rd,P2N 1A3,,Yes,,Yes,http://www.neofacs.org/
24,Repairs at Participation House (Farintosh House),Complete,2017-03-01,,58103,43.845211,-79.304821,Communities,"Children, Community and Social Services",Markham,"Prepare, prime and paint 14 vertical structural posts","Provide better, more secure and accessible facilities",York,Central,7811 Kennedy Rd,L3R 2C8,,Yes,,,
25,Repairs and replacements at Participation House,Complete,2017-03-01,,414097,43.883436,-79.235061,Communities,"Children, Community and Social Services",Markham,"Includes resurfaced driveway, walkway and back patio; repainted structural posts; repaired foundation; new roof, magnetic locking, smoke-barrier door, cooling units, flooring and walls in five shower rooms","Provide better, more secure and accessible facilities",York,Central,9 Butternut Lane,L3P 3M1,,Yes,,,
26,Repairs at Participation House (Henderson House),Complete,2017-03-01,,8800,43.808412,-79.409406,Communities,"Children, Community and Social Services",Markham,Replace driveway and interlocking walkway to wheelchair ramp,"Provide better, more secure and accessible facilities",York,Central,113 Henderson Ave,L3T 2L3,,Yes,,,
27,ErinoakKids Centre for Treatment and Development,Complete,2018-01-01,,51890000,43.566536,-79.65746,Communities,"Children, Community and Social Services",Mississauga,Construction of new building,"At 93,000 sq. ft., new centre to include 20 treatment rooms,  snoezelen (multi-sensory) room, adapted fitness facility, two gyms for physiotherapy, youth drop-in and more for children with special needs and their families",Peel,Central,1230 Central Parkway W,L5C 0A5,,Yes,,,http://www.erinoakkids.ca/About-Us/Our-Future/Mississauga-site.aspx
28,HANDS The Family Help Network - North Eastern Ontario Family Help and Treatment Centre,Complete,2018-02-01,,8800000,46.3091,-79.4608,Communities,"Children, Community and Social Services",North Bay,Construction of a new building,"18,000 sq. ft. of clinical and administrative space, with the ability to add 2 floors in the future for colocation and community hub partnerships",Nipissing,Northeast,391 Oak St,P1B 1A3,,Yes,,Yes,https://news.ontario.ca/mcys/en/2016/12/helping-more-children-and-families-in-north-bay.html https://www.thefamilyhelpnetwork.ca/
29,ErinoakKids Centre for Treatment and Development,Complete,2018-01-01,,46650000,43.467517,-79.687666,Communities,"Children, Community and Social Services",Oakville,"Construction of a new treatment centre, next to the new Oakville hospital","At 73,000 sq. ft., new centre to include 20 treatment rooms,  snoezelen (multi-sensory) room, adapted fitness facility, two gyms for physiotherapy, youth drop-in and more for children with special needs and their families",Halton,Central,2000 Glenorchy Rd,L6M 0X4,,Yes,,,http://www.erinoakkids.ca/About-Us/Our-Future/Oakville-site.aspx
30,Green Haven Shelter for Women,Complete,2020-03-01,,6200000,,,Communities,"Children, Community and Social Services",Orillia,Construction of a new shelter on a newly acquired site.,Construction of a new 12-bed accessible shelter with flexible design to allow for potential future expansion.,Simcoe,Central,Address is confidential,,,Yes,Yes,Yes,https://www.cmhc-schl.gc.ca/en/media-newsroom/news-releases/2018/governments-announce-funding-shelters-survivors-domestic-violence
31,Catholic Family Services of Durham,Complete,2018-08-01,,1100000,,,Communities,"Children, Community and Social Services",Oshawa,Acquisition  and renovations of a site to deliver a variety of services to the community through a community hub model.,"The building will provide a variety of services, including support for survivors of domestic violence and their children, crisis support, intensive trauma counselling, sexual assault counselling and transitional housing support services.",Durham,Central,Address is confidential,,,Yes,,,http://www.cfsdurham.com/english/Hope%20Centre%20Durham%20Region.pdf
32,Nelson House,Complete,2018-08-01,,5300000,,,Communities,"Children, Community and Social Services",Ottawa,Construction of a new shelter to replace the existing site.,Construction of a new accessible shelter which will provide 5 additional beds for services.,Ottawa,East,Address is confidential,,,,Yes,,http://www.nelsonhouse.on.ca/2017/04/21/federal-provincial-governments-approve-funding-new-shelter-nelson-house/
33,Minwaashin Lodge,Complete,2020-03-01,,1000000,,,Communities,"Children, Community and Social Services",Ottawa,"Renovations and upgrades to the exisiting shelter site, including a multi-storey addition.",The shelter upgrades and addition will optimize programming spaces and ensure suitable culturally appropriate space.,Ottawa,East,Address is confidential,,,Yes,Yes,,https://www.cmhc-schl.gc.ca/en/media-newsroom/news-releases/2018/governments-announce-funding-shelters-survivors-domestic-violence
34,CHEO Integrated Treatment Centre,Under construction,2027-11-01,,371370000,45.400974,-75.651314,Communities,"Children, Community and Social Services",Ottawa,"Construct a new state-of-the-art children’s treatment centre on the CHEO campus, to offer critical services for children and youth with special needs.","Consolidation of services and improved support for developmental, rehabilitation, behavioural and mental health..",Ottawa,East,401 Smyth Rd,K1H 8L1,,Yes,,Yes,https://www.news.ontario.ca/en/release/52689/ontario-supports-the-childrens-hospital-of-eastern-ontario
35,Ronald McDonald House Charities (RMHC) - Ottawa site,Under construction,2025-10-01,,0,43.879,-79.03,Communities,"Children, Community and Social Services",Ottawa,"New expansion of approximately 25,000 sq. ft. to add 22 new suites into the existing RMHC building in Ottawa to accommodate up to 36 families who are away from home, while their child is receiving care at the Children’s Hospital of Eastern Ontario (CHEO).","The project will add 22 more suites to create a 36-suite facility that can accommodate families travelling 80 km and further with a sick child at Children Hospital of Eastern Ontario (CHEO). The project will expand the building envelope, and install life systems and outdoor enhancements.",Ottawa,East,,,,Yes,Yes,Yes,
36,Valoris for Children and Adults of Prescott-Russell Multi-Service Building,Complete,2016-10-01,,4000000,45.259265,-75.357609,Communities,"Children, Community and Social Services",Prescott and Russell,Construction of new building,"Wide range of community and social services programs under one roof (e.g. mental health, family violence, child/adult development)",Prescott and Russell,East,8 rue Valoris,K0A 1W0,,Yes,,Yes,http://www.valorispr.ca/en/
37,Christian Horizons Upgrades and Repairs,Complete,2017-03-01,,55000,43.857619,-79.448352,Communities,"Children, Community and Social Services",Richmond Hill,"Includes new roof, fixing and extending driveway, repairs and renovations to bathrooms, bedrooms and recreation areas","Provide better, more secure and accessible facilities",York,Central,148 Weldrick Rd W,L4C 3V1,,Yes,,,
38,Community Living York South Upgrades and Repairs,Complete,2017-03-01,,15000,43.882638,-79.421899,Communities,"Children, Community and Social Services",Richmond Hill,Replacement of pavement on driveway and curbs,"Provide better, more secure and accessible facilities",York,Central,376 Balkan Rd,L4C 2P1,,Yes,,,
39,Community Living York South Upgrades and Repairs,Complete,2017-03-01,,6500,43.955075,-79.458392,Communities,"Children, Community and Social Services",Richmond Hill,Replace furnace and air conditioning,"Provide better, more secure and accessible facilities",York,Central,8 Blackforest Dr,L4E 2P6,,Yes,,,
40,Sandgate Women's Shelter Upgrades and Repairs,Complete,2017-03-01,,7100,,,Communities,"Children, Community and Social Services",Richmond Hill,New  energy-efficient windows to replace existing windows,"Provide better, more secure and accessible facilities",York,Central,,,,Yes,,,
41,Partner Facility Renewal - Community Living Dryden - Sioux Lookout,Under construction,2025-09-01,,599000,50.098878,-91.914688,Communities,"Children, Community and Social Services",Sioux Lookout,"Heating, Ventilating & AC",Minor capital projects for repair/renovation/upgrades of existing buildings that will provide more secure and accessible facilities for people who use their services.,Kenora,Northwest,41 King Street,P8T 1B8,,Yes,,,
42,Women's Place Emergency Shelter Replacement,Complete,2016-09-01,,2024000,,,Communities,"Children, Community and Social Services",St. Thomas,Construction of new building,"7,250 sq. ft.-shelter with 10 bedrooms and 26 beds",Elgin,Southwest,,,,Yes,,Yes,http://www.vawsec.on.ca/
43,Repairs to Aptus Treatment Centre,Complete,2017-03-01,,13800,43.760026,-79.462488,Communities,"Children, Community and Social Services",Toronto,New canopy over front entrance,"Provide better, more secure and accessible facilities",Toronto,Central,174 Kennard Ave,M3H 4M7,,Yes,,,
44,Repairs to Aptus Treatment Centre,Complete,2017-03-01,,18900,43.730964,-79.429606,Communities,"Children, Community and Social Services",Toronto,"Replacing fence, curbs and driveway","Provide better, more secure and accessible facilities",Toronto,Central,379 Brooke Ave,M4M 2L5,,Yes,,,
45,Repairs to Aptus Treatment Centre,Complete,2017-03-01,,14300,43.726082,-79.426837,Communities,"Children, Community and Social Services",Toronto,Replacing driveway and walkway,"Provide better, more secure and accessible facilities",Toronto,Central,524 Fairlawn Ave,M5M 1V2,,Yes,,,
46,Repairs to Aptus Treatment Centre,Complete,2017-03-01,,22300,43.776978,-79.42111,Communities,"Children, Community and Social Services",Toronto,"New roof, raised window wells","Provide better, more secure and accessible facilities",Toronto,Central,64 Lorraine Dr,M2N 3E7,,Yes,,,
47,North York Women's Shelter,Complete,2019-07-01,,12000000,,,Communities,"Children, Community and Social Services",Toronto,Demolition and reconstruction of a building,"Construction of a new accessible 24,000 sq. ft. (approx) 30-bed VAW shelter with space for administrative/outreach services",Toronto,Central,Address is confidential,,,Yes,Yes,Yes,http://www.nyws.ca/her-campaign/faqs/
48,Nellie's (Women's Hostels Inc.),Complete,2021-10-01,,12000000,,,Communities,"Children, Community and Social Services",Toronto,Renovation of the newly acquired site in Toronto,"This building will provide a  40-bed, fully accessible building – consolidating the shelter, community support and outreach and administrative services into one location.",Toronto,Central,Address is confidential,,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/52978/ontario-investing-in-shelter-expansion-in-toronto-to-protect-vulnerable-women-and-children
49,Anti-Human Trafficking Specialized Residential Sites - Operation Springboard,Complete,2021-06-01,,0,,,Communities,"Children, Community and Social Services",Toronto,Implementation of a specialized site in Toronto for children and youth who are victims of human-trafficking.,"This specialized residence will divert children and youth that are being, or at risk of being trafficked, from less effective services and result in better health, social, legal and educational outcomes.",Toronto,Central,Address is confidential,,,,,Yes,"https://www.ontario.ca/page/ontarios-anti-human-trafficking-strategy-2020-2025#:~:text=Ontario%27s%20anti%2Dhuman%20trafficking%20strategy%20will%20raise%20awareness%20of%20the,give%20law%20enforcement%20the%20tools"
50,Partner Facility Renewal - Geneva Centre for Autism,Under construction,2025-09-01,,390000,43.697081,-79.392812,Communities,"Children, Community and Social Services",Toronto,Roof Assembly & Waterproofing,Minor capital projects for repair/renovation/upgrades of existing buildings that will provide more secure and accessible facilities for people who use their services.,Toronto,Central,112 Merton Street,M4S 2Z8,,Yes,,,
51,Partner Facility Renewal - Bob  Rumball,Under construction,2025-09-01,,254000,43.734753,-79.380527,Communities,"Children, Community and Social Services",Toronto,Roof Construction,Minor capital projects for repair/renovation/upgrades of existing buildings that will provide more secure and accessible facilities for people who use their services.,Toronto,Central,2395 Bayview Avenue,M2L 1A2,,Yes,,,
52,Quartier général de la gestion des feux de North Bay,Complete,2017-04-01,,9500000,46.365551,-79.403123,Communities,"Environment, Conservation and Parks",North Bay,Relocation to Jack Garland Airport,"3 operations brought together in new 13,600 sq. ft. space",Nipissing,Northeast,40 Voodoo Cres,P1C 0B8,,Yes,,,
53,MECP/MLITSD Science Complex,Planning,2030-09-01,,0,,,Communities,"Environment, Conservation and Parks",Oakville,Construction of a new Science Complex to replace the existing facilities at 81A and 125 Resources Road.,New Science Complex,Halton,Central,Hospital Gate and William Halton Parkway,,,Yes,,,
54,Thunder Bay Provincial Logistics Centre/Fire Management Headquarters Expansion,Complete,2017-12-01,,25000000,48.379044,-89.332477,Communities,"Environment, Conservation and Parks",Thunder Bay,New construction and renovations,"More than 59,000 sq. ft. renovated and almost 8,000 sq. ft. added for increased and improved space for staff and better traffic routing",Thunder Bay,Northwest,1580 Arthur St W,P7K 1A6,,Yes,,,http://www.infrastructureontario.ca/Fire-Management-Headquarters/
55,Water Supply Feasibility Study and Design for Community Lot Servicing,Complete,2020-10-01,,48750,42.935977,-82.416026,Communities,Infrastructure,Aamjiwnaang First Nation,Feasibility and design planning to improve water capacity and water supply services to a populated area of the First Nation.,Increased water distribution capacity for the surrounding area and a more effective water distribution system.,Lambton,Southwest,,,,Yes,Yes,Yes,
56,Wastewater Feasibility Study for Community Lot Servicing,Complete,2018-05-01,,30000,42.935977,-82.416026,Communities,Infrastructure,Aamjiwnaang First Nation,Feasibility and design planning for a gravity wastewater sewer system on Scott Road.,Improved capacity of the wastewater sewer system.,Lambton,Southwest,,,,Yes,Yes,Yes,
57,Stormwater Drainage Study,Complete,2018-09-01,,30000,42.935999,-82.415988,Communities,Infrastructure,Aamjiwnaang First Nation,"Drainage studies on surface flooding problem areas of the First Nation,.",Improved drainage and reduced standing water problems.,Lambton,Southwest,978 Tashmoo,N7T 7H5,,Yes,Yes,Yes,
58,"Ditch, Swale and Berm Rehabilitation for Lot servicing",Complete,2018-09-01,,15570,42.935977,-82.416026,Communities,Infrastructure,Aamjiwnaang First Nation,"Rehabilitation of the existing stormwater system, including ditch, swale and berm components.",Extended life span for the stormwater conveyance system.,Lambton,Southwest,,,,Yes,Yes,Yes,
59,To connect the Loretto area and Weca area water systems in the Township of Adjala Township,Complete,2020-05-01,,111884,44.078674,-79.935181,Communities,Infrastructure,Adjala-Tosorontio,Connect the Loretto area and Weca area water systems.,Increased redundancy to the Loretto water system.,Simcoe,Central,"South of Simcoe County Road 50 and Simcoe County Road 1 in the Township of Adjala Township, Loretto, ON L0G 1L0",L0G 1L0,Yes,Yes,Yes,,
60,Replacement of Dillabough Road Stormwater Culvert,Complete,2017-10-01,,10500,45.535459,-76.925402,Communities,Infrastructure,Admaston-Bromley,"This project will include the replacement of an existing Stormwater Culvert which was due for replacement as part of the road repair due in 2016 according to our Asset Management Plan. Replacement of this culvert will contribute to the prolongation of the life of the road by keeping water off, out of, and away from the road. This project will assist the Township in maintaining our rural stormwater system through culverts, ditches, slope and road design which will reduce the impacts of water running off of land during storm events. The environmental impact of additional runoff can erode watercourses as well as cause flooding after the stormwater collection system is overwhelmed by the additional flow and cause pollutants to enter surface waters during precipitation events.","Prolonged lifespan of the road, and reduced environmental impact.",Renfrew,East,,,Yes,Yes,Yes,,
61,Conduct Condition Assessment on Six Stormwater Management Ponds,Complete,2018-11-01,,56250,43.884172,-79.003438,Communities,Infrastructure,Ajax,"Assess the condition of 6 stormwater management ponds at  Ponds # 7, 17, 18, 27, 33 and 50.",Established priorities for future maintenance work.,Durham,Central,970S Audley Road South,,Yes,Yes,Yes,,
62,Steele Valley stormwater management pond rehabilitation and repair.,Complete,2019-11-01,,184500,43.878904,-79.031453,Communities,Infrastructure,Ajax,"Alterations to the outlet structure that manages stormwater discharge to Millers Creek during peak storm events,  repair to the access road, installation of a new chain gate and removal of sediment off site.",Maintain the existing wetland and wildlife habitat and prevent localized flooding and erosion issues on Millers Creek.,Durham,Central,70S Rossland Road West,,Yes,Yes,Yes,,
63,Storm sewer outfall rehabilitation at Spiers Crescent,Complete,2018-05-01,,150000,43.832703,-78.992676,Communities,Infrastructure,Ajax,"Install an oil/grit separator, and structural repair of the existing storm sewer outfall at Spiers Crescent.",Improved water quality discharged to a large wetland and ultimately to Carruthers Creek.,Durham,Central,78-80 Spiers Crescent,L1S 6Z1,Yes,Yes,Yes,,
64,Stormwater Quality Control Improvement,Complete,2019-11-01,,487500,43.835305,-79.034303,Communities,Infrastructure,Ajax,Design and construct a solution to the improve the quality of the stormwater being discharged into Dufferin Creek.,,Durham,Central,430 Westney Road South,,Yes,Yes,Yes,,
65,Installation of an Oil/ Grit Separator,Complete,2018-11-01,,75000,43.836435,-78.994755,Communities,Infrastructure,Ajax,Installation an oil/grit separator upstream of the storm sewer outfall at Callander Court.,Improved water quality treatment for approximately 2 hectares of residential stormwater runoff and conformity with treatment standards.,Durham,Central,7 Callander Court,,Yes,Yes,Yes,,
66,Installation of an Oil/ Grit Separator,Complete,2018-11-01,,75000,43.835083,-78.997192,Communities,Infrastructure,Ajax,Installation an oil/grit separator upstream of the storm sewer outfall at Caldicott Court.,Improved water quality treatment for approximately 2 hectares of residential stormwater runoff and conformity with treatment standards.,Durham,Central,5S Caldicott Court,L1S 7C2,Yes,Yes,Yes,,
67,Hermitage Stormwater Management Pond Rehabilitation,Complete,2017-11-01,,61875,43.850161,-79.053028,Communities,Infrastructure,Ajax,Rehabilitate and repair the Hermitage Stormwater Management Pond.,Significant improvements the a stormwater facility and prevention of basement flooding during storm events.,Durham,Central,99S Church St. North,,Yes,Yes,Yes,,
68,Fishlock and Heritage Market stormwater management pond rehabilitation.,Complete,2019-11-01,,93750,43.876358,-79.032122,Communities,Infrastructure,Ajax,Repair and rehabilitate two stormwater management  ponds.,"This project will help maintain the existing wetland and wildlife habitat and prevent localized flooding and erosion issues on Millers Creek and Carruthers Creek, respectively.",Durham,Central,4S Fishlock Street,,Yes,Yes,Yes,,
69,Decommissioning of 13 wells,Complete,2023-09-01,,19923,44.182879,-78.06352,Communities,Infrastructure,Alderville First Nation,Decommissioning 11 bored/dugwells and 2 drilled wells.,Improved safe operations and reduced isk of environmental contamination.,Peterborough,East,11696 Line Road 2,KOK 2X,,Yes,Yes,Yes,
70,Alderville First Nation - Communal and POE Water Treatment Systems,Planning,2025-01-01,,0,44.1729,-78.0852,Communities,Infrastructure,Alderville First Nation,"This Project is for the rehabilitation and expansion of the water treatment system in the Alderville First Nation. The work includes drilling a new well; replacing small water treatment systems with a high-capacity, communal treatment plant with back-up power; installing an underground reservoir for water storage and high lift pump station; establishing a truck fill connection; installing approximately 750 metres of piping to connect the communal plant to 18 buildings; rehabilitating and upgrading 32 existing point-of-entry (POE) systems, adding 10 residential POE systems; and decommissioning unused wells.",,Peterborough,East,11696 2ND LINE RD,K0K2X0,Yes,Yes,Yes,,
71,Presqu'île Watermain,Complete,2017-09-01,,710588,45.6401,-74.9429,Communities,Infrastructure,Alfred and Plantagenet,Upgrades to the Presqu'île watermain linking the Presqu'île Community to the municipal water system.,Safer drinking water,Prescott and Russell,East,Unit #2890; Presqu'île Road;RR 1,K0B 1J0,Yes,Yes,Yes,,
72,Replacement of Dainage Culverts on  Dawson Road,Complete,2017-10-01,,75000,45.075123,-78.714084,Communities,Infrastructure,Algonquin Highlands,Add 4 new drainage culverts on Dawson Road.,,Haliburton,East,,,Yes,Yes,Yes,,
73,Culvert Replacement Project,Complete,2018-07-01,,105654,45.575671,-77.25098,Communities,Infrastructure,Algonquins of Pikwakanagan First Nation,Replace the culvert on Kokomis Road.,Improved drainage and increased environmental protection of the Bonnechere River.,Renfrew,East,,,,Yes,Yes,Yes,
74,Grafton Communal Water System - Water Meter Replacement Program.,Complete,2018-07-01,,62532,43.992025,-78.025416,Communities,Infrastructure,Alnwick-Haldimand,Replace 227 residential and 20 commercial water meters with new water meters on and around 10836 County Road #2.,Reduced meter reading costs and improved water conservation.,Northumberland,East,10836 County Road #2,K0K 2G,Yes,Yes,Yes,,
75,Edgewater Sewage Diversion Project,Complete,2019-12-01,,5866666,42.096084,-83.110647,Communities,Infrastructure,Amherstburg,"Upgrades to pumping station No. 2, construction of a new forcemain and upgrades to pumping station to connect Edgewater Lagoon System to the new Amherstburg Wastewater Treatment Plant",Increased station capacity and reduced risk of environmental contamination,Essex,Southwest,105 Pickering Dr,N9V 1R4,Yes,Yes,Yes,,
76,Edgewater pump station and lagoon decommissioning,Complete,2020-03-01,,3737741,42.078026,-83.11795,Communities,Infrastructure,Amherstburg,"Install new forcemain pipes along Country Road 20, upgrade Pump Station No. 22 and decommission the Edgewater wastewater lagoons",,Essex,Southwest,1063 County Rd 20,,Yes,Yes,Yes,Yes,
77,Reconstruction of Sanitary Sewers on George and Seymour Streets,Planning,2023-01-01,,0,42.1016,-83.10746,Communities,Infrastructure,Amherstburg,"The Project will replace and reconstruct the sanitary sewer system on George and Seymour streets in the Town of Amherstburg. The work will involve installing approximately 900 metres of sanitary sewer and collection lines, and replacing manholes. The work will also involve asphalt restoration of the affected roadway.",,Essex,Southwest,271 Sandwich Street/Rue South/Sud,N9V2A5,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
